frame_idx,timestamp_ms,x1,y1,x2,y2,det_conf,ocr_text,ocr_conf
0,0,507,268,855,454,0.9383998513221741,,0.0
0,0,762,324,1280,575,0.8928364515304565,,
0,0,394,349,770,594,0.8521997928619385,,
0,0,255,341,361,426,0.8013696670532227,,
0,0,1096,347,1280,478,0.7851818203926086,,
1,33,509,268,860,453,0.9064726233482361,,3.0
1,33,772,324,1280,581,0.8887851238250732,,
1,33,399,347,785,605,0.8565908670425415,,
1,33,1108,348,1280,486,0.7896196246147156,,
1,33,256,343,360,427,0.787932813167572,,
2,67,510,268,862,455,0.9349569082260132,,
2,67,786,325,1280,593,0.9337351322174072,,
2,67,404,345,804,612,0.8167790174484253,,
2,67,255,343,360,428,0.8140636086463928,,
2,67,1120,352,1280,455,0.6931318044662476,,
3,100,511,268,865,455,0.9368113875389099,,
3,100,803,323,1280,601,0.9298580288887024,,
3,100,256,344,361,430,0.8468694686889648,,
3,100,408,345,823,622,0.8243730068206787,,
3,100,313,301,477,418,0.8149236440658569,,
4,133,518,269,868,454,0.9323901534080505,,
4,133,816,324,1280,603,0.9152854681015015,,0.0
4,133,412,351,844,626,0.9087472558021545,,19.0
4,133,317,301,473,418,0.8051767349243164,,
4,133,256,343,361,432,0.6846140623092651,,
5,167,520,269,874,457,0.9380193948745728,,
5,167,832,321,1280,614,0.9234932065010071,,
5,167,416,348,864,638,0.8942916989326477,,
5,167,317,300,475,420,0.8655746579170227,,
5,167,75,336,103,405,0.6498784422874451,,
6,200,520,268,884,458,0.9532532095909119,,
6,200,850,321,1280,614,0.9266964197158813,,
6,200,314,300,479,421,0.9255462884902954,,
6,200,422,348,888,644,0.8946205973625183,,
6,200,73,336,102,409,0.679034411907196,,
7,233,520,268,888,464,0.9450131058692932,,
7,233,867,323,1280,621,0.9333775043487549,,
7,233,426,345,912,656,0.9174807071685791,,
7,233,314,301,480,421,0.9115263223648071,,
7,233,73,336,102,409,0.6808428764343262,,
8,267,521,267,890,462,0.9316987991333008,,0.0
8,267,886,325,1280,626,0.9281564354896545,,
8,267,433,346,936,663,0.9036166071891785,,
8,267,314,301,479,423,0.868962287902832,,
8,267,402,339,550,463,0.6837878227233887,,
9,300,904,328,1280,617,0.9247086048126221,,
9,300,522,268,897,463,0.9046810269355774,,
9,300,438,348,961,675,0.88254314661026,,
9,300,315,303,483,420,0.6942943930625916,,
9,300,126,332,171,460,0.6756055951118469,,
10,333,521,269,900,441,0.9107441306114197,,
10,333,925,329,1280,597,0.9094127416610718,,
10,333,443,350,992,682,0.8976308703422546,,
10,333,315,302,487,425,0.7962508201599121,,
10,333,406,341,562,465,0.7201888561248779,,
11,367,452,351,1024,694,0.9356842041015625,,
11,367,944,330,1280,599,0.8864838480949402,,
11,367,522,270,903,437,0.8830930590629578,,
11,367,318,303,487,425,0.8078675866127014,,
11,367,124,335,169,459,0.6755475997924805,,
12,400,460,351,1056,706,0.9108283519744873,,
12,400,525,271,911,426,0.8962138295173645,,
12,400,964,330,1280,597,0.8693844676017761,,
12,400,318,303,491,427,0.7795727252960205,,
12,400,66,338,98,411,0.6763687133789062,,
13,433,467,350,1091,720,0.918429970741272,,29.0
13,433,523,272,914,428,0.8884999752044678,,
13,433,990,329,1280,608,0.8156019449234009,,
13,433,316,304,492,429,0.7555539011955261,,
13,433,37,345,71,442,0.6565539836883545,,
14,467,477,353,1132,720,0.9358242750167847,,13.0
14,467,526,271,917,428,0.9001385569572449,,
14,467,1013,333,1280,599,0.8890087008476257,,
14,467,316,304,495,430,0.6955409049987793,,
14,467,120,337,168,459,0.6933468580245972,,
15,500,486,355,1170,720,0.9297838807106018,,
15,500,1040,333,1280,608,0.8909980058670044,,
15,500,529,270,923,434,0.8784741759300232,,
15,500,118,337,168,460,0.7284047603607178,,
15,500,34,346,69,443,0.6576740145683289,,
16,533,494,354,1217,720,0.9416859149932861,,
16,533,1069,334,1280,616,0.8876404762268066,,
16,533,533,270,926,438,0.8506021499633789,,
16,533,117,338,168,464,0.7549540996551514,,
16,533,259,350,370,442,0.7414911389350891,,
17,567,503,355,1265,720,0.9381968975067139,,
17,567,1100,335,1280,621,0.8891741037368774,,
17,567,535,271,929,455,0.8798337578773499,,
17,567,258,351,370,442,0.801480233669281,,
17,567,118,340,167,465,0.6622048020362854,,
18,600,512,355,1280,720,0.8983989357948303,,
